service_date,line,estimated_boardings,ObjectId
2020/06/26 04:00:00+00,Middleborough/Lakeville,822,353
2020/06/26 04:00:00+00,Lowell,677.5,354
2020/06/26 04:00:00+00,Haverhill,493.5,355
2020/06/26 04:00:00+00,Kingston,498.5,356
2020/06/26 04:00:00+00,Needham,263,357
2020/06/26 04:00:00+00,Fitchburg,368.5,358
2020/06/26 04:00:00+00,Greenbush,291,359
2020/06/26 04:00:00+00,Fairmount,212,360
2020/06/29 04:00:00+00,Providence/Stoughton,1393,361
2020/06/29 04:00:00+00,Newburyport/Rockport,1233,362
2020/06/29 04:00:00+00,Framingham/Worcester,201,363
2020/06/29 04:00:00+00,Franklin/Foxboro,595.5,364
2020/06/29 04:00:00+00,Middleborough/Lakeville,700.5,365
2020/06/29 04:00:00+00,Lowell,661.5,366
2020/06/29 04:00:00+00,Haverhill,520.5,367
2020/06/29 04:00:00+00,Kingston,561,368
2020/06/29 04:00:00+00,Needham,247,369
2020/06/29 04:00:00+00,Fitchburg,516,370
2020/06/29 04:00:00+00,Greenbush,298,371
2020/06/29 04:00:00+00,Fairmount,201,372
2020/06/30 04:00:00+00,Providence/Stoughton,1552.5,373
2020/06/30 04:00:00+00,Newburyport/Rockport,1135,374
2020/06/30 04:00:00+00,Framingham/Worcester,201,375
2020/06/30 04:00:00+00,Franklin/Foxboro,726,376
2020/06/30 04:00:00+00,Middleborough/Lakeville,840,377
2020/06/30 04:00:00+00,Lowell,675,378
2020/06/30 04:00:00+00,Haverhill,559.5,379
2020/06/30 04:00:00+00,Kingston,567,380
2020/06/30 04:00:00+00,Needham,283.5,381
2020/06/30 04:00:00+00,Fitchburg,447,382
2020/06/30 04:00:00+00,Greenbush,243,383
2020/06/30 04:00:00+00,Fairmount,243,384
2020/07/01 04:00:00+00,Providence/Stoughton,1792,385
2020/07/01 04:00:00+00,Newburyport/Rockport,1269.5,386
2020/07/01 04:00:00+00,Framingham/Worcester,201,387
2020/07/01 04:00:00+00,Franklin/Foxboro,878,388
2020/07/01 04:00:00+00,Middleborough/Lakeville,828.5,389
2020/07/01 04:00:00+00,Lowell,714,390
2020/07/01 04:00:00+00,Haverhill,590.5,391
2020/07/01 04:00:00+00,Kingston,542,392
2020/07/01 04:00:00+00,Needham,336,393
2020/07/01 04:00:00+00,Fitchburg,503.5,394
2020/07/01 04:00:00+00,Greenbush,278,395
2020/07/01 04:00:00+00,Fairmount,266,396
2020/07/02 04:00:00+00,Providence/Stoughton,1971.5,397
2020/07/02 04:00:00+00,Newburyport/Rockport,1284,398
2020/07/02 04:00:00+00,Framingham/Worcester,201,399
2020/07/02 04:00:00+00,Franklin/Foxboro,836,400
2020/08/07 04:00:00+00,Middleborough/Lakeville,938,401
2020/08/07 04:00:00+00,Lowell,805,402
2020/08/07 04:00:00+00,Haverhill,732,403
2020/08/07 04:00:00+00,Kingston,594,404
2020/08/07 04:00:00+00,Needham,652,405
2020/08/07 04:00:00+00,Fitchburg,559,406
2020/08/07 04:00:00+00,Greenbush,333,407
2020/08/07 04:00:00+00,Fairmount,427,408
2020/08/10 04:00:00+00,Providence/Stoughton,3222.5,409
2020/08/10 04:00:00+00,Newburyport/Rockport,1648,410
2020/08/10 04:00:00+00,Framingham/Worcester,1410,411
2020/08/10 04:00:00+00,Franklin/Foxboro,1417,412
2020/08/10 04:00:00+00,Middleborough/Lakeville,848.5,413
2020/08/10 04:00:00+00,Lowell,934,414
2020/08/10 04:00:00+00,Haverhill,683,415
2020/08/10 04:00:00+00,Kingston,632,416
2020/08/10 04:00:00+00,Needham,725,417
2020/08/10 04:00:00+00,Fitchburg,576,418
2020/08/10 04:00:00+00,Greenbush,329.5,419
2020/08/10 04:00:00+00,Fairmount,479.5,420
2020/08/11 04:00:00+00,Providence/Stoughton,3221.5,421
2020/08/11 04:00:00+00,Newburyport/Rockport,1636,422
2020/08/11 04:00:00+00,Framingham/Worcester,1260,423
2020/08/11 04:00:00+00,Franklin/Foxboro,1546.5,424
2020/08/11 04:00:00+00,Middleborough/Lakeville,919,425
2020/08/11 04:00:00+00,Lowell,924,426
